Date,Nifty,Nikkei,HangSeng,DAX,SP500,Nasdaq,US_10Y,DXY,Gold,Oil,Bitcoin
2016-01-26,7436.14990234375,16708.900390625,18860.80078125,9822.75,1903.6300048828125,4233.85009765625,1.99399995803833,99.36000061035156,1121.699951171875,31.799999237060547,392.15301513671875
2016-01-27,7437.75,17163.919921875,19052.44921875,9880.8203125,1882.949951171875,4128.85986328125,2.000999927520752,98.9000015258789,1116.0999755859375,33.099998474121094,394.97198486328125
2016-01-28,7424.64990234375,17041.44921875,19195.830078125,9639.58984375,1893.3599853515625,4186.06005859375,1.9850000143051147,98.51000213623047,1115.5999755859375,33.88999938964844,380.28900146484375
2016-01-29,7563.5498046875,17518.30078125,19683.109375,9798.1103515625,1940.239990234375,4279.169921875,1.930999994277954,99.61000061035156,1116.4000244140625,34.7400016784668,379.4739990234375
2016-01-30,7563.5498046875,17518.30078125,19683.109375,9798.1103515625,1940.239990234375,4279.169921875,1.930999994277954,99.61000061035156,1116.4000244140625,34.7400016784668,378.2550048828125
2016-01-31,7563.5498046875,17518.30078125,19683.109375,9798.1103515625,1940.239990234375,4279.169921875,1.930999994277954,99.61000061035156,1116.4000244140625,34.7400016784668,368.7669982910156
2016-02-01,7555.9501953125,17865.23046875,19595.5,9757.8798828125,1939.3800048828125,4286.56005859375,1.965999960899353,99.0,1127.9000244140625,34.689998626708984,373.0559997558594
2016-02-02,7455.5498046875,17750.6796875,19446.83984375,9581.0400390625,1903.030029296875,4193.10009765625,1.8639999628067017,98.87000274658203,1127.300048828125,32.720001220703125,374.447998046875
2016-02-03,7361.7998046875,17191.25,18991.58984375,9434.8203125,1912.530029296875,4171.97021484375,1.88100004196167,97.29000091552734,1141.300048828125,35.040000915527344,369.9490051269531
2016-02-04,7404.0,17044.990234375,19183.08984375,9393.3603515625,1915.449951171875,4167.77001953125,1.8639999628067017,96.47000122070312,1157.5999755859375,34.459999084472656,389.593994140625
